benchmark,noise_percent,seed,arm,alpha,alpha_mode,best_beta,validation_error,true_alpha,target_noise_l2,initial_slice_effect_l2,target_variance_clean,target_variance_noisy,temporal_adjoint_weight_norm
Frac. RD (space),0.0,0,clean_initial_slice,0.8621875,fractional_subunit,1.661614601723771,0.0041044759627199175,1.0,0.0,0.0,5.549647029263221e-07,5.549647029263221e-07,39.73865142098734
Frac. RD (space),0.0,0,target_only_noise,0.8621875,fractional_subunit,1.661614601723771,0.0041044759627199175,1.0,0.0,0.0,5.549647029263221e-07,5.549647029263221e-07,39.73865142098734
Frac. RD (space),0.0,0,library_only_noise,0.8621875,fractional_subunit,1.661614601723771,0.0041044759627199175,1.0,0.0,0.0,5.549647029263221e-07,5.549647029263221e-07,39.73865142098734
Frac. RD (space),0.0,0,clean,0.8646750000000001,fractional_subunit,1.6615230930452836,0.003964357396518315,1.0,0.0,0.0,5.559163271228799e-07,5.559163271228799e-07,39.940450921116444
Frac. RD (space),0.0,0,fully_noisy,0.8646750000000001,fractional_subunit,1.6615230930452836,0.003964357396518315,1.0,0.0,0.0,5.559163271228799e-07,5.559163271228799e-07,39.940450921116444
Frac. RD (space),0.0,0,clean_initial_slice,0.8646750000000001,fractional_subunit,1.6615230930452836,0.003964357396518315,1.0,0.0,0.0,5.559163271228799e-07,5.559163271228799e-07,39.940450921116444
Frac. RD (space),0.0,0,target_only_noise,0.8646750000000001,fractional_subunit,1.6615230930452836,0.003964357396518315,1.0,0.0,0.0,5.559163271228799e-07,5.559163271228799e-07,39.940450921116444
Frac. RD (space),0.0,0,library_only_noise,0.8646750000000001,fractional_subunit,1.6615230930452836,0.003964357396518315,1.0,0.0,0.0,5.559163271228799e-07,5.559163271228799e-07,39.940450921116444
Frac. RD (space),0.0,0,clean,0.8671625000000001,fractional_subunit,1.6614317635427593,0.0038268968953109428,1.0,0.0,0.0,5.568701651078185e-07,5.568701651078185e-07,40.14458883833418
Frac. RD (space),0.0,0,fully_noisy,0.8671625000000001,fractional_subunit,1.6614317635427593,0.0038268968953109428,1.0,0.0,0.0,5.568701651078185e-07,5.568701651078185e-07,40.14458883833418
Frac. RD (space),0.0,0,clean_initial_slice,0.8671625000000001,fractional_subunit,1.6614317635427593,0.0038268968953109428,1.0,0.0,0.0,5.568701651078185e-07,5.568701651078185e-07,40.14458883833418
Frac. RD (space),0.0,0,target_only_noise,0.8671625000000001,fractional_subunit,1.6614317635427593,0.0038268968953109428,1.0,0.0,0.0,5.568701651078185e-07,5.568701651078185e-07,40.14458883833418
Frac. RD (space),0.0,0,library_only_noise,0.8671625000000001,fractional_subunit,1.6614317635427593,0.0038268968953109428,1.0,0.0,0.0,5.568701651078185e-07,5.568701651078185e-07,40.14458883833418
Frac. RD (space),0.0,0,clean,0.86965,fractional_subunit,1.6613386872300477,0.0036915264889584897,1.0,0.0,0.0,5.578155158496823e-07,5.578155158496823e-07,40.35107500136456
